Bill,Date,Chamber,Action,Webpage Title
HB1288,1/13/2025,House,Filed with the Clerk by Rep. La Shawn K. Ford,Illinois General Assembly - Bill Status for HB1288
HB1288,1/28/2025,House,First Reading,Illinois General Assembly - Bill Status for HB1288
HB1288,1/28/2025,House,Referred to Rules Committee,Illinois General Assembly - Bill Status for HB1288
HB1288,3/11/2025,House,Added Chief Co-Sponsor Rep. Kelly M. Cassidy,Illinois General Assembly - Bill Status for HB1288
HB1288,3/12/2025,House,Added Co-Sponsor Rep. Rita Mayfield,Illinois General Assembly - Bill Status for HB1288
HB1288,4/15/2025,House,Added Co-Sponsor Rep. Travis Weaver,Illinois General Assembly - Bill Status for HB1288
HB1628,1/23/2025,House,Filed with the Clerk by Rep. Will Guzzardi,Illinois General Assembly - Bill Status for HB1628
HB1628,1/28/2025,House,First Reading,Illinois General Assembly - Bill Status for HB1628
HB1628,1/28/2025,House,Referred to Rules Committee,Illinois General Assembly - Bill Status for HB1628
HB1628,2/18/2025,House,Assigned to Judiciary - Criminal Committee,Illinois General Assembly - Bill Status for HB1628
HB1628,3/3/2025,House,Added Co-Sponsor Rep. Lisa Davis,Illinois General Assembly - Bill Status for HB1628
HB1628,3/7/2025,House,Added Co-Sponsor Rep. Kelly M. Cassidy,Illinois General Assembly - Bill Status for HB1628
HB1628,3/7/2025,House,Added Co-Sponsor Rep. Barbara Hernandez,Illinois General Assembly - Bill Status for HB1628
HB1628,3/20/2025,House,Do Pass / Standard Debate Judiciary - Criminal Committee;  008-006-000,Illinois General Assembly - Bill Status for HB1628
HB1628,3/21/2025,House,Placed on Calendar 2nd Reading - Standard Debate,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Carol Ammons,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Amy Briel,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Lilian Jiménez,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Gregg Johnson,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Joyce Mason,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Rita Mayfield,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Kevin John Olickal,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Justin Slaughter,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,"Added Co-Sponsor Rep. William ""Will"" Davis",Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Theresa Mah,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. La Shawn K. Ford,Illinois General Assembly - Bill Status for HB1628
HB1628,3/25/2025,House,Added Co-Sponsor Rep. Abdelnasser Rashid,Illinois General Assembly - Bill Status for HB1628
HB1628,3/26/2025,House,Second Reading - Standard Debate,Illinois General Assembly - Bill Status for HB1628
HB1628,3/26/2025,House,Held on Calendar Order of Second Reading - Standard Debate,Illinois General Assembly - Bill Status for HB1628
HB1628,4/7/2025,House,House Floor Amendment No. 1 Filed with Clerk by Rep. Will Guzzardi,Illinois General Assembly - Bill Status for HB1628
HB1628,4/7/2025,House,House Floor Amendment No. 1 Referred to Rules Committee,Illinois General Assembly - Bill Status for HB1628
HB1628,4/7/2025,House,House Floor Amendment No. 1 Rules Refers to Judiciary - Criminal Committee,Illinois General Assembly - Bill Status for HB1628
HB1628,4/8/2025,House,House Floor Amendment No. 1 Recommends Be Adopted Judiciary - Criminal Committee;  013-000-000,Illinois General Assembly - Bill Status for HB1628
HB1628,4/9/2025,House,House Floor Amendment No. 1 Adopted,Illinois General Assembly - Bill Status for HB1628
HB1628,4/9/2025,House,Placed on Calendar Order of 3rd Reading - Standard Debate,Illinois General Assembly - Bill Status for HB1628
HB1628,4/9/2025,House,Third Reading - Standard Debate - Passed 082-030-000,Illinois General Assembly - Bill Status for HB1628
HB1628,4/10/2025,Senate,Arrive in Senate,Illinois General Assembly - Bill Status for HB1628
HB1628,4/10/2025,Senate,Placed on Calendar Order of First Reading,Illinois General Assembly - Bill Status for HB1628
HB1628,4/10/2025,Senate,Chief Senate Sponsor Sen. Omar Aquino,Illinois General Assembly - Bill Status for HB1628
HB1628,4/10/2025,Senate,First Reading,Illinois General Assembly - Bill Status for HB1628
HB1628,4/10/2025,Senate,Referred to Assignments,Illinois General Assembly - Bill Status for HB1628
